id,hook,url,platform,sourcePage
trend-0001,"This represents your X before, during, and after X",https://www.instagram.com/p/C-ta_pvhfvK/,Instagram,1
trend-0002,Here’s exactly how much (insert action/item) you need to (insert result),https://www.instagram.com/reel/C9vqgHxuz1E/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Instagram,1
trend-0003,Can you tell us how to (insert result) in 60 seconds?,https://www.instagram.com/p/C8dJXv1PjzF/,Instagram,1
trend-0004,This is what (insert thing) looks like when you’re (insert action). And this is what they look like when you’re not (insert action).,https://www.instagram.com/reel/C4tAzeYL8yA/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Instagram,1
trend-0005,"I’m going to tell you how to get (Insert result), (insert mind blowing method).",https://www.instagram.com/p/C7WV9_TI5dT/,Instagram,1
trend-0006,It took me 10 years to learn this but I’ll teach it to you in less than 1 minute.,https://www.instagram.com/p/C-sSyDpoyMX/,Instagram,1
trend-0007,When you get (insert item/result) here are the # things you got to do right away.,https://www.instagram.com/p/C9bUq2CtvUv/,Instagram,1
trend-0008,"If you don’t have (insert item/action), do (insert item/action).",https://www.instagram.com/p/C8rJipAy8I8/,Instagram,1
trend-0009,My money rules as a (insert description) working towards financial independence.,https://www.instagram.com/p/C_-u411xe4m/,Instagram,1
trend-0010,Money can buy you (insert item) but it can not buy you (insert result).,https://www.instagram.com/p/DBkvHncxD2t/,Instagram,1
trend-0011,Here's how to develop a (insert skill) so strong that you physically can't stop (doing skill).,https://www.instagram.com/reel/C-CPzwMReyb/?igsh=MXBiYmdmc3dudm5vcg%3D%3D,Instagram,1
trend-0012,This is what (insert #) of (insert item) looks like.,https://www.instagram.com/alexgamblecoach/reel/C60q1FPPrLW/,Instagram,1
trend-0013,"If I woke up (insert pain point) tomorrow, and wanted to (insert dream result) by (insert time) here’s exactly what I would do.",https://www.instagram.com/p/DGOZZYhS1cj/,Instagram,1
trend-0014,If you're a (insert target audience) and you want (insert,https://www.instagram.com/reel/DE9tW4dyxlJ/?igs,Instagram,1
trend-0015,dream result) by (insert avenue) then listen to this video. h=MWwyeWRoYXlkeXd5cA%3D%3D If you are (insert age group or range) do not do (insert action).,https://www.instagram.com/reel/DEsW49SM6z3/?igsh=MXc4eXFleDU0cDB4OA==,Instagram,2
trend-0016,As an (insert trait) responsible (insert age) year old with a goal to (insert goal) here are 3 things I will never regret doing.,https://www.instagram.com/reel/DBZT2Q5RJ2W/?igsh=MTBtc3gwNXVyM2ppdg%3D%3D,Instagram,2
trend-0017,"Not to flex, but I'm fretty f*cking good at (insert skill/niche).",https://www.instagram.com/p/C-SR22KOEDY/,Instagram,2
trend-0018,This is what (insert object/item) looks like when you are using/doing (insert product/service).,https://www.instagram.com/sethwickstrom_ﬁtness/reel/DAtNQtAxUNQ/,Instagram,2
trend-0019,Are you still (insert action)? I’ve got (insert result) in (insert time frame) and I have never (insert action).,https://www.instagram.com/reel/C4YY12SxuRo/,Instagram,2
trend-0020,3 Youtube channels that will teach you more than any (insert industry/niche) degree.,https://www.instagram.com/p/DBfqo-0zxTb/,Instagram,2
trend-0021,I think I just found the biggest (insert niche/industry) cheat code.,https://www.instagram.com/p/DB6kCMQR0oX/,Instagram,2
trend-0022,Here are 3 people who will make you a better (insert title).,https://www.instagram.com/p/C9uwXS_uJJ6/,Instagram,2
trend-0023,(insert trait) Guy vs (insert trait) Guy.,https://www.instagram.com/share/_9R_a4MER,Instagram,2
trend-0024,I see you doing nothing but (insert action) after (insert event) so follow this agenda to avoid that.,https://www.instagram.com/share/BADjOvZhzs,Instagram,2
trend-0025,Want to be the first (insert dream result) in your family?,https://www.instagram.com/reel/DEVCeefOF08/?igsh=MThxZXZyMnFkZXNj,Instagram,2
trend-0026,This is how many (insert item) you need to (insert result).,https://www.instagram.com/reel/C83vXP6NqXU/,Instagram,2
trend-0027,Everyone tells you to (insert action) but nobody actually tells you how to do it. Here is a # second step by step tutorial that you can save.,https://www.instagram.com/reel/DC2pqKUpy7C/?igsh=ZzBjeG93cDh6aWoy,Instagram,2
